"state1","place1","mi_to_place","state2","place2"
"01","00484",13.3325482705964,"01","21280"
"01","00484",17.9471454430697,"01","71900"
"01","00484",18.995252260785,"01","30496"
"01","00484",19.3337495260018,"01","18976"
"01","00484",19.4872102749232,"01","25648"
"01","00484",20.0809062062712,"01","20955"
"01","00484",20.6197995861858,"01","51600"
"01","00484",21.2966806466204,"01","33448"
"01","00484",22.0803786068775,"01","22504"
"01","00484",23.1956235232196,"01","53400"
"01","00484",23.4541750043162,"01","44800"
"01","00484",24.0009860143333,"01","16684"
"01","00484",24.6074872735752,"01","38416"
"01","00676",9.48416545000526,"01","24664"
"01","00676",10.4637038010418,"01","51648"
"01","00676",12.4292498477375,"01","77616"
"01","00676",15.0324539727731,"01","31720"
"01","00676",17.6133267307486,"01","27376"
"01","00676",18.343758548951,"01","08104"
"01","00676",23.2593712678364,"01","53784"
"01","00676",24.7282024960617,"01","28768"
"01","00820",3.45290324403104,"01","09064"
"01","00820",5.75139323956824,"01","34024"
"01","00820",6.26741203768875,"01","50312"
"01","00820",7.88899858412004,"01","11416"
"01","00820",8.77825155605829,"01","58848"
"01","00820",9.74117198742518,"01","82872"
"01","00820",11.0555293714898,"01","37465"
"01","00820",11.2795142407614,"01","35896"
"01","00820",12.6826388253441,"01","16768"
"01","00820",13.2460904110273,"01","14104"
"01","00820",13.7969790513062,"01","05980"
"01","00820",14.2540202435621,"01","47740"
"01","00820",15.6247460306021,"01","69672"
"01","00820",15.7884311043136,"01","43336"
"01","00820",16.2056739054956,"01","34490"
"01","00820",16.9233768030016,"01","35800"
"01","00820",17.0663760987526,"01","09400"
"01","00820",17.6049284191656,"01","48376"
"01","00820",17.6060458567516,"01","09500"
"01","00820",17.6224139579672,"01","38608"
"01","00820",17.8106249917185,"01","78552"
"01","00820",18.0776961324818,"01","36448"
"01","00820",18.6419478763619,"01","80928"
"01","00820",18.8067481245868,"01","83640"
"01","00820",18.8275948756214,"01","25120"
"01","00820",18.9672639800638,"01","40928"
"01","00820",19.240786615261,"01","55152"
"01","00820",19.3286726292084,"01","69978"
"01","00820",19.4949223078117,"01","82848"
"01","00820",19.8192286727999,"01","51696"
"01","00820",19.8362412724256,"01","81504"
"01","00820",21.2186293295222,"01","16936"
"01","00820",21.2705943874717,"01","61008"
"01","00820",21.4016828283792,"01","76080"
"01","00820",21.6767699614196,"01","07000"
"01","00820",22.0489175052526,"01","45208"
"01","00820",22.2205582348619,"01","25864"
"01","00820",23.0639406059123,"01","23032"
"01","00820",23.2106708569868,"01","74616"
"01","00820",23.4242640448473,"01","49072"
"01","00820",23.4930977919292,"01","65412"
"01","00820",23.4986097459342,"01","78264"
"01","00820",23.8918455980311,"01","33256"
"01","00820",23.9399815068477,"01","78312"
"01","00820",24.3506063687296,"01","37864"
"01","00820",24.8137759896839,"01","74424"
"01","00820",24.9444167076787,"01","52776"
"01","00988",5.44753995039622,"01","07912"
"01","00988",7.68162346829605,"01","32416"
"01","00988",8.16396937828063,"01","68280"
"01","00988",8.99875372581164,"01","54582"
"01","00988",9.21014121922874,"01","21328"
"01","00988",10.7748448991675,"01","09457"
"01","00988",10.8570311235096,"01","82176"
"01","00988",11.4026437249558,"01","12070"
"01","00988",12.1969171939082,"01","18856"
"01","00988",13.1944193180708,"01","23224"
"01","00988",13.5854786741203,"01","29608"
"01","00988",14.2333795701017,"01","71280"
"01","00988",14.3979543336939,"01","79728"
"01","00988",15.5221104077608,"01","64656"
"01","00988",16.0267547325139,"01","38032"
"01","00988",16.0797412466686,"01","40888"
"01","00988",16.3187358251872,"01","63984"
"01","00988",16.3969606503908,"01","01660"
"01","00988",16.9338130618044,"01","77784"
"01","00988",17.1981322272478,"01","02116"
"01","00988",17.3158795030852,"01","44160"
"01","00988",17.4025185960902,"01","74160"
"01","00988",17.7060839102829,"01","31096"
"01","00988",18.1238661380359,"01","28816"
"01","00988",19.5284721104525,"01","39088"
"01","00988",19.562912158402,"01","16600"
"01","00988",19.8095210698713,"01","03028"
"01","00988",20.5920954099947,"01","41368"
"01","00988",20.7684457203144,"01","28696"
"01","00988",21.6806231910121,"01","28672"
"01","00988",22.2001839493195,"01","54168"
"01","00988",22.2574274439209,"01","72888"
"01","00988",22.7350888793407,"01","03676"
"01","00988",22.8070486716949,"01","76208"
"01","00988",23.1217346073172,"01","16080"
"01","00988",23.4980492231113,"01","69840"
"01","00988",23.8586863739393,"01","35560"
"01","00988",24.2077126625775,"01","63288"
"01","00988",24.9492777901859,"01","07456"
"01","00988",24.969098464868,"01","66408"
"01","01132",6.12593633729377,"01","57384"
"01","01132",6.48273835183458,"01","63495"
"01","01132",6.69535830247117,"01","39472"
"01","01132",7.68534971788611,"01","38248"
"01","01132",8.71055537579105,"01","32584"
"01","01132",11.386603904892,"01","30640"
"01","01132",11.4010928385934,"01","54432"
"01","01132",11.5249907122816,"01","34984"
"01","01132",11.6625620220567,"01","19336"
"01","01132",14.2702159349001,"01","30448"
"01","01132",15.259553861784,"01","52320"
"01","01132",15.8714231874582,"01","65472"
"01","01132",17.3660705971029,"01","35512"
"01","01132",18.2605785572752,"01","48784"
"01","01132",18.6054164078361,"01","11680"
"01","01132",19.7000567673036,"01","19816"
"01","01132",20.7348878339269,"01","22816"
"01","01132",21.3664068501646,"01","73152"
"01","01132",23.5552370727197,"01","80736"
"01","01132",24.4199595062022,"01","02860"
"01","01180",3.82500690361377,"01","80352"
"01","01180",4.00230609488269,"01","67608"
